Scheme Name	Asset Value
Scheme Name	Net Asset Value
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	65.675
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3388
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.4061
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.3451
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3176
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.7112
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.2025
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0593
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2676
LIC MF Banking & PSU Fund-Regular Plan-Growth	34.9826
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.0927
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.392
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.3141
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.3096
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.0279
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.0290
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21.6453
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21.6452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	20.8650
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	21.6452
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.7806
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	11.2136
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.5231
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	20.8650
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.7124
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	11.1469
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.5239
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1464.8680
SBI BANKING & PSU FUND - Direct Plan - Growth	3325.6730
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1317.9702
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1461.6158
SBI BANKING & PSU FUND - Regular Paln - Growth	3130.6343
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1428.2823
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1237.1072
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1427.9385
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
